epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1874999957614475,0.18749970528814527,0.06249999576144748,0.0625,0.0625,0.062499925825330954,0.06249969601631165,0.06250008344650268,0.125,0.5,0.125,0.0,1.0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,15.390846834182739,0.013775124247573938,0.12633100972928255,0.013429752985636393,0.0003291841596364975,1.618710230104625e-05,0.12632195154825845,8.981850260170177e-06,7.633076393176452e-08,0.77734375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.80375,0.88875,0.54,0.8775,0.4075,nan,0.70125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,18.67179920196533,0.009749749580223578,0.15089151595491243,0.009734678268432616,1.056473469361663e-05,4.5065770973451435e-06,0.15089122984144424,2.7449664230516646e-07,1.1616825901228366e-08,0.8984375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.93375,0.90625,0.7925,0.9575,0.71625,nan,0.88125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,18.4246702003479,0.005266608716855343,0.16351482438707884,0.005257804128858778,5.1795330364257096e-06,3.625054960139096e-06,0.1635136498345269,1.1726324373739772e-06,1.9201145562419695e-09,0.95390625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.97,0.965,0.93,0.97625,0.835,nan,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,18.489866676330568,0.003297398816923507,0.16777477063269305,0.0032925301127963596,2.279980981256813e-06,2.588723145890981e-06,0.1677747090657552,5.396579467742413e-08,7.601143181545922e-09,0.9725,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.98625,0.995,0.95375,0.97875,0.895,nan,0.97125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,18.791202993392943,0.002561298516593524,0.17452624053716467,0.0025586676597595215,1.1711881234077736e-06,1.4596687105949968e-06,0.17452622519599068,9.952461255124944e-09,5.388712764897719e-09,0.97859375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9925,0.99875,0.95375,0.98125,0.925,nan,0.9775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,17.08104760169983,0.002245179159856181,0.17792145618558924,0.0022436242633395724,6.661450606770813e-07,8.887514559319243e-07,0.17792142232259114,2.577664304226346e-08,8.0863550522281e-09,0.98109375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.99375,1.0,0.955,0.98375,0.93625,nan,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,16.600667362213134,0.0021609465415167507,0.18076080328950167,0.0021599555015563965,4.144826380070299e-07,5.76557322347071e-07,0.1807607862684462,1.3945191312814131e-08,3.0758641855754833e-09,0.98171875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.995,1.0,0.955,0.98375,0.93875,nan,0.98125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,16.645718641281128,0.0020882016124677545,0.18149773770454575,0.002087534401151869,2.8564176318468526e-07,3.8156955270096657e-07,0.18149772220187715,1.4083714461321507e-08,1.418954109766446e-09,0.9821875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.995,1.0,0.9575,0.98375,0.93875,nan,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,15.205428838729858,0.0019380615777986857,0.1820943238396008,0.0019375778569115534,2.0195260731270536e-07,2.8176827981951647e-07,0.18209429846869574,2.465124850914435e-08,7.196565565692481e-10,0.98359375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.995,1.0,0.9625,0.985,0.94375,nan,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
