epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000047683716,0.18750004179683732,0.0625,0.06250000476837159,0.0625,0.0625000047095028,0.06250004238552517,0.06249999470180935,0.125,0.5,0.125,0.1111111111111111,0.5555555555555556,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,29.036727952957154,0.019706838683018257,0.03821733982106786,0.019279471503363718,0.0004147718846797943,1.259529497474432e-05,0.0368294233157311,0.0012667111224598355,0.000121205382876926,0.69515625,1.0,1.0,0.5111111111111111,0.9958333333333333,1.0,1.0,1.0,0.75,0.7275,0.69125,0.56375,0.46875,0.36,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.575,0.55,0.475,0.4,0.3625,0.25,0.0,1.0,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,33.71282231330871,0.004495002039249004,0.027650852838278187,0.0044811752107408315,9.384493459947407e-06,4.442335048224777e-06,0.027369798259970584,0.00019684357361661063,8.42110046909915e-05,0.95671875,1.0,1.0,0.7777777777777778,1.0,0.9986111111111111,1.0,1.0,0.99,0.9925,0.96,0.965,0.955,0.79125,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8875,0.8875,0.9125,0.9125,0.9125,0.4875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
75,35.737592477798465,0.0015926271196642322,0.028759758291122168,0.0015897386603885228,1.2389535550028086e-06,1.6495057207066565e-06,0.028567622620382427,7.044368216560947e-05,0.00012169198857413398,0.98671875,1.0,1.0,0.8097222222222222,1.0,0.9986111111111111,1.0,1.0,1.0,0.99875,0.99375,0.99125,0.99,0.92,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.925,0.9,0.95,0.9375,0.9625,0.6125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
100,34.03433748245239,0.0010311245336641957,0.03032045717880038,0.0010300729009840223,3.4832857636502013e-07,7.033041038084776e-07,0.03012979766468943,5.141102915836705e-05,0.00013924848495258226,0.99046875,1.0,1.0,0.8111111111111111,1.0,0.9986111111111111,1.0,1.0,1.0,1.0,0.99375,0.99625,0.99375,0.94,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9125,0.9125,0.9625,0.9375,0.975,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
125,33.72519558906555,0.0008089689599465702,0.030875641276577003,0.0008084514405992296,1.529309338366147e-07,3.6458841350395233e-07,0.030681899741843894,4.519928867618243e-05,0.0001485422460569276,0.9928125,1.0,1.0,0.8125,1.0,0.9986111111111111,1.0,1.0,1.0,1.0,0.9975,0.99625,0.995,0.95375,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9,0.95,0.9375,0.975,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
150,37.3422901725769,0.0007692292455239012,0.031237668984995026,0.0007689527008268569,8.297137355839368e-08,1.9357332348590716e-07,0.03103949699872806,4.242898171974553e-05,0.0001557430045472251,0.993125,1.0,1.0,0.8152777777777778,1.0,0.9972222222222222,1.0,1.0,1.0,1.0,0.9975,0.9975,0.995,0.955,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9125,0.95,0.9375,1.0,0.5875,0.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
175,33.98603867530823,0.0006560007914372868,0.03136729345093539,0.0006558365954293145,4.9418431444792076e-08,1.1477757652755827e-07,0.031173941529827356,3.761519781417317e-05,0.00015573672329386075,0.9940625,1.0,1.0,0.8152777777777778,1.0,0.9972222222222222,1.0,1.0,1.0,1.0,0.9975,0.99875,0.99875,0.9575,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9125,0.95,0.9375,1.0,0.5875,0.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
200,34.180010681152346,0.0005895600701890341,0.03161466314750551,0.0005894512600368924,3.304794745417894e-08,7.576220468763495e-08,0.031431466561776616,3.225025462193622e-05,0.00015094633110695414,0.9946875,1.0,1.0,0.8180555555555555,1.0,0.9972222222222222,1.0,1.0,1.0,1.0,0.9975,0.99875,1.0,0.96125,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.925,0.95,0.9375,1.0,0.6,0.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
225,33.99697213172912,0.0005703355430003083,0.03178039804319449,0.0005702585644192166,2.3479074116039555e-08,5.3499506975640544e-08,0.0316009568579403,2.6497570797801017e-05,0.00015294361445638869,0.99484375,1.0,1.0,0.8166666666666667,1.0,0.9972222222222222,1.0,1.0,1.0,1.0,0.9975,0.99875,1.0,0.9625,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.925,0.95,0.9375,1.0,0.6,0.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
250,33.98067623138428,0.0005531969856748573,0.03182038963674625,0.0005531391832563613,1.7373919263263813e-08,4.042849923280301e-08,0.03164348837770062,2.290318047420846e-05,0.00015399807857142554,0.995,1.0,1.0,0.8180555555555555,1.0,0.9972222222222222,1.0,1.0,1.0,1.0,0.9975,0.99875,1.0,0.96375,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.925,0.95,0.9375,1.0,0.6125,0.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
275,34.07350235939026,0.00048558145449899515,0.03199165916576246,0.000485535032219357,1.3567577070716652e-08,3.285470256741974e-08,0.03181662618378062,1.9527350862820942e-05,0.00015550563111901283,0.995625,1.0,1.0,0.8180555555555555,1.0,0.9972222222222222,1.0,1.0,1.0,1.0,0.9975,0.99875,1.0,0.96875,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.925,0.95,0.9375,1.0,0.6125,0.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
300,151.12777647972106,0.00046842960828055556,0.032286297056226085,0.0004683927363819546,1.0782683830257157e-08,2.6089214770763647e-08,0.03211503440951124,1.643978887134128e-05,0.00015482285784350501,0.99578125,1.0,1.0,0.8166666666666667,1.0,0.9972222222222222,1.0,1.0,1.0,1.0,0.9975,0.99875,1.0,0.97,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.925,0.95,0.925,1.0,0.6125,0.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
