epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1874999851650662,0.1875001476870643,0.06250000423855252,0.062499985694885254,0.06249999523162842,0.06250029669867622,0.06249990463256836,0.0624999463558197,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,4.859573802947998,0.026940696857766146,0.1451067362902197,0.02594657474093967,0.0009742261469364166,1.989596989005804e-05,0.133961730533176,0.011144384741783142,6.210152605490293e-07,0.66234375,0.99890625,1.0,0.0,0.9625,1.0,1.0,0.99125,nan,1.0,0.505,0.53875,0.39,0.46875,0.405,1.0,0.99125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9625,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5.783128080368042,0.008525460214328227,0.16470999488992674,0.008472856415642632,4.633367992937565e-05,6.270118756219745e-06,0.1507540702819824,0.013954539597034455,1.3850109098711983e-06,0.91078125,1.0,1.0,0.0,0.9375,1.0,1.0,1.0,nan,1.0,0.89,0.89875,1.0,0.6975,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9375,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,8.77937671661377,0.004509108434172554,0.18610112610298934,0.004497436417473687,8.82239721249789e-06,2.8496194863691924e-06,0.1639963255988227,0.022100088000297547,4.712503869086504e-06,0.96125,1.0,1.0,0.0,0.9,1.0,1.0,1.0,nan,1.0,0.96,0.96375,1.0,0.84375,0.9225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,9.896018323898316,0.0033156761736447353,0.19984653669608735,0.0033110576205783422,3.280885866843164e-06,1.3376671995501964e-06,0.17520673539903428,0.02463909238576889,7.089112841640599e-07,0.9715625,1.0,1.0,0.0,0.9375,1.0,1.0,1.0,nan,1.0,0.97,0.9775,1.0,0.88125,0.94375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9375,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,9.10302538871765,0.002730860498720883,0.20289740766532102,0.0027285069889492457,1.6111272270791234e-06,7.423825445584953e-07,0.17876476711697048,0.02413229048252106,3.5006582947971766e-07,0.97640625,1.0,1.0,0.0,0.9125,1.0,1.0,1.0,nan,1.0,0.9725,0.97875,1.0,0.90375,0.95625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9125,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,12.278600206375122,0.0024343812485070277,0.20521286505048186,0.00243315060933431,8.035229984670877e-07,4.2711617425084115e-07,0.1829411612616645,0.02227153331041336,1.704784040157392e-07,0.97875,1.0,1.0,0.0,0.9125,1.0,1.0,1.0,nan,1.0,0.975,0.98125,1.0,0.9125,0.96125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9125,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,9.137529516220093,0.0023142988483474862,0.20679104309682228,0.0023136393229166666,4.1241091821575535e-07,2.4711451260373e-07,0.18556560940212674,0.021225345134735108,8.85599604316667e-08,0.98,1.0,1.0,0.0,0.9125,1.0,1.0,1.0,nan,1.0,0.97625,0.98125,1.0,0.9175,0.965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9125,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,9.099950876235962,0.002197184526416499,0.20927770118543979,0.002196768389807807,2.5058618120965546e-07,1.6555042748223058e-07,0.1870454364352756,0.022232198715209962,6.603495421586558e-08,0.98109375,1.0,1.0,0.0,0.9,1.0,1.0,1.0,nan,1.0,0.97875,0.9825,1.0,0.92125,0.96625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,9.171480445861816,0.0021023978764060304,0.21028873622005081,0.002102094888687134,1.724338471831288e-07,1.3055387171334587e-07,0.187809329562717,0.022479358315467834,4.834186597690859e-08,0.98171875,1.0,1.0,0.0,0.925,1.0,1.0,1.0,nan,1.0,0.97875,0.9825,1.0,0.92375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.925,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
